timestamp,price
2023-08-20 00:00:00,217.0755217507986
2023-08-21 00:00:00,216.24044795479304
2023-08-22 00:00:00,210.58828468143162
2023-08-23 00:00:00,210.83831690902392
2023-08-24 00:00:00,216.46933652900628
2023-08-25 00:00:00,218.29266821493957
2023-08-26 00:00:00,218.17749771354633
2023-08-27 00:00:00,216.1437880002737
2023-08-28 00:00:00,218.24702764538884
2023-08-29 00:00:00,218.66016837698223
2023-08-30 00:00:00,226.74644339528282
2023-08-31 00:00:00,223.73474962321495
2023-09-01 00:00:00,216.56493339627252
2023-09-02 00:00:00,213.63263302532525
2023-09-03 00:00:00,214.1517059449753
2023-09-04 00:00:00,214.3001868645122
2023-09-05 00:00:00,215.20163188949797
2023-09-06 00:00:00,214.36178944570824
2023-09-07 00:00:00,215.08938926745688
2023-09-08 00:00:00,216.71011887224225
2023-09-09 00:00:00,214.58287590348837
2023-09-10 00:00:00,214.13751951103444
2023-09-11 00:00:00,212.21388034911894
2023-09-12 00:00:00,205.79219100163806
2023-09-13 00:00:00,211.5180504655486
2023-09-14 00:00:00,212.51215205375362
2023-09-15 00:00:00,212.21486809687195
2023-09-16 00:00:00,214.10200179916035
2023-09-17 00:00:00,214.87611605202002
2023-09-18 00:00:00,216.50742177094784
2023-09-19 00:00:00,215.88018309792267
2023-09-20 00:00:00,217.16777222898247
2023-09-21 00:00:00,214.18713041595333
2023-09-22 00:00:00,210.66859640849137
2023-09-23 00:00:00,211.05567704171992
2023-09-24 00:00:00,210.46274509641373
2023-09-25 00:00:00,208.14507274724323
2023-09-26 00:00:00,209.98104109173954
2023-09-27 00:00:00,212.3265868049085
2023-09-28 00:00:00,212.00203647145472
2023-09-29 00:00:00,214.92011356718317
2023-09-30 00:00:00,215.1422803842829
2023-10-01 00:00:00,214.69695348592128
2023-10-02 00:00:00,217.96384659394644
2023-10-03 00:00:00,214.82304495573942
2023-10-04 00:00:00,213.57799312655078
2023-10-05 00:00:00,213.35254544689778
2023-10-06 00:00:00,210.81952472137328
2023-10-07 00:00:00,213.56779987718184
2023-10-08 00:00:00,212.3450979506937
2023-10-09 00:00:00,211.5655752278196
2023-10-10 00:00:00,205.6927622190411
2023-10-11 00:00:00,208.6620254764005
2023-10-12 00:00:00,206.51868848965105
2023-10-13 00:00:00,204.9989157997759
2023-10-14 00:00:00,205.81803754234838
2023-10-15 00:00:00,206.54688879540822
2023-10-16 00:00:00,209.67928458171238
2023-10-17 00:00:00,214.89035406939
2023-10-18 00:00:00,211.61725451265434
2023-10-19 00:00:00,210.40183827187985
2023-10-20 00:00:00,211.2943892193741
2023-10-21 00:00:00,212.211694219601
2023-10-22 00:00:00,214.2292395478076
2023-10-23 00:00:00,217.94890437013547
2023-10-24 00:00:00,228.2427461737632
2023-10-25 00:00:00,225.09316646086626
2023-10-26 00:00:00,221.94464720341847
2023-10-27 00:00:00,223.09283939029933
2023-10-28 00:00:00,224.3183649961432
2023-10-29 00:00:00,225.70595612640852
2023-10-30 00:00:00,227.18387190872835
2023-10-31 00:00:00,228.18038710470466
2023-11-01 00:00:00,226.56541637204373
2023-11-02 00:00:00,227.87876216969727
2023-11-03 00:00:00,231.82826563680618
2023-11-04 00:00:00,230.7559827119548
2023-11-05 00:00:00,237.29213570297165
2023-11-06 00:00:00,244.32691511361557
2023-11-07 00:00:00,253.40549350351324
2023-11-08 00:00:00,246.19529120444378
2023-11-09 00:00:00,247.30390291019077
2023-11-10 00:00:00,251.36483322400602
2023-11-11 00:00:00,250.93328516175865
2023-11-12 00:00:00,251.59265640705053
2023-11-13 00:00:00,247.73525322551333
2023-11-14 00:00:00,241.35784107422398
2023-11-15 00:00:00,242.14218372949267
2023-11-16 00:00:00,253.64781357770002
2023-11-17 00:00:00,242.8427041695165
2023-11-18 00:00:00,244.28169218287522
2023-11-19 00:00:00,244.82839666850936
2023-11-20 00:00:00,246.23360281615726
2023-11-21 00:00:00,253.37297951943324
2023-11-22 00:00:00,227.95084111194794
2023-11-23 00:00:00,236.08184794258628
2023-11-24 00:00:00,233.74947308470354
2023-11-25 00:00:00,232.86133711676447
2023-11-26 00:00:00,234.23991448664447
2023-11-27 00:00:00,232.07104496973466
2023-11-28 00:00:00,227.22665873311735
2023-11-29 00:00:00,229.52752578033886
2023-11-30 00:00:00,227.19638072093466
2023-12-01 00:00:00,227.6025546782398
2023-12-02 00:00:00,228.45099800633835
2023-12-03 00:00:00,229.2586524423362
2023-12-04 00:00:00,227.8810023686749
2023-12-05 00:00:00,233.28507676882688
2023-12-06 00:00:00,231.14254967265893
2023-12-07 00:00:00,229.6291702982718
2023-12-08 00:00:00,232.90388747524327
2023-12-09 00:00:00,238.98902791513137
2023-12-10 00:00:00,237.88420554028318
2023-12-11 00:00:00,239.5736712075568
2023-12-12 00:00:00,246.2875566773758
2023-12-13 00:00:00,254.95445837168663
2023-12-14 00:00:00,252.21806404987606
2023-12-15 00:00:00,253.5655635032257
2023-12-16 00:00:00,244.6685159764498
2023-12-17 00:00:00,244.1625572534542
2023-12-18 00:00:00,239.17277676807825
2023-12-19 00:00:00,241.10001595415815
2023-12-20 00:00:00,252.04747669569153
2023-12-21 00:00:00,260.25503354808023
2023-12-22 00:00:00,271.0739333915976
2023-12-23 00:00:00,271.4314527300256
2023-12-24 00:00:00,271.25430109375634
2023-12-25 00:00:00,264.6528500144323
2023-12-26 00:00:00,267.17879986250625
2023-12-27 00:00:00,297.1454222726345
2023-12-28 00:00:00,323.4162880480637
2023-12-29 00:00:00,323.3739475628496
2023-12-30 00:00:00,313.6202885727052
